"ID","GeneName","Alias","GeneID"
578,"PPP1CB",,5500
579,"SRSF3",,6428
580,"TTL",,150465
581,"BCL11A",,53335
582,"CNTRL","(CEP110)",11064
583,"FCGR2B",,2213
584,"HOXC11",,3227
585,"MALT1",,10892
586,"NSD1",,64324
587,"PRDM1",,639
588,"SS18",,6760
589,"TYK2",,7297
590,"BCL11B",,64919
591,"COL1A1",,1277
592,"FCRL4",,83417
593,"HOXC13",,3229
594,"MDS2",,259283
595,"NTRK1",,4914
596,"PRDM16",,63976
597,"SSX1",,6756
598,"USP6",,9098
599,"BCL2",,596
600,"CREB3L1",,90993
601,"FEV",,54738
602,"HOXD11",,3237
603,"MECOM",,2122
604,"NTRK2",,4915
605,"PRRX1",,5396
606,"SSX2",,6757
607,"WHSC1","(MMSET",7468
608,"BCL3",,602
609,"CREB3L2",,64764
610,"FGFR1",,2260
611,"HOXD13",,3239
612,"MKL1",,57591
613,"NTRK3",,4916
614,"PSIP1",,11168
615,"SSX4",,6759
616,"WHSC1L1",,54904
617,"BCL6",,604
618,"CREBBP",,1387
619,"FGFR1OP",,11116
620,"HSP90AA1",,3320
621,"MLF1",,4291
622,"NUMA1",,4926
623,"PTCH1",,5727
624,"STAT6",,6778
625,"YPEL5",,51646
626,"BCL7A",,605
627,"CRLF2",,64109
628,"FGFR2",,2263
629,"HSP90AB1",,3326
630,"MLLT1","(ENL)",4298
631,"NUP214",,8021
632,"PTK7",,5754
633,"STL",,7955
634,"ZBTB16",,7704
635,"BCL9",,607
636,"CSF1",,1435
637,"FGFR3",,2261
638,"IGH",,3492
639,"MLLT10","(AF10)",8028
640,"NUP98",,4928
641,"RABEP1",,9135
642,"SYK",,6850
643,"ZMYM2",,7750
644,"BCOR",,54880
645,"CTNNB1",,1499
646,"FLI1",,2313
647,"IGK",,50802
648,"MLLT3",,4300
649,"NUTM2A",,728118
650,"RAF1",,5894
651,"TAF15",,8148
652,"ZNF384",,171017
653,"BCR",,613
654,"DDIT3",,1649
655,"FNBP1",,23048
656,"IGL",,3535
657,"MLLT4","(AF6)",4301
658,"OMD",,4958
659,"RALGDS",,5900
660,"TAL1",,6886
661,"ZNF521",,25925
662,"BIRC3",,330
663,"DDX10",,1662
664,"FOXO1",,2308
665,"IKZF1",,10320
666,"MLLT6",,4302
667,"P2RY8",,286530
668,"RAP1GDS1",,5910
669,"TAL2",,6887
670,"BRAF",,673
671,"DDX6",,1656
672,"FOXO3",,2309
673,"IL21R",,50615
674,"MN1",,4330
675,"PAFAH1B2",,5049
676,"RARA",,5914
677,"TBL1XR1",,79718
678,"BTG1",,694
679,"DEK",,7913
680,"FOXO4",,4303
681,"IL3",,3562
682,"MNX1",,3110
683,"PAX3",,5077
684,"RBM15",,64783
685,"TCF3","(E2A)",6929
686,"CAMTA1",,23261
687,"DUSP22",,56940
688,"FOXP1",,27086
689,"IRF4",,3662
690,"MSI2",,124540
691,"PAX5",,5079
692,"RET",,5979
693,"TCL1A","(TCL1)",8115
694,"CARS",,833
695,"EGFR",,1956
696,"FSTL3",,10272
697,"ITK",,3702
698,"MSN",,4478
699,"PAX7",,5081
700,"RHOH",,399
701,"TEC",,100124696
